cve_id,package,installed_version,severity_trivy,fix_status_trivy,fixed_version_trivy,severity_grype,fix_status_grype,fixed_version_grype,trivy,grype,osv
CVE-2023-36632,python,,,,,High,,,,YES,
CVE-2024-11168,python,,,,,Low,fixed,3.9.21,,YES,
CVE-2024-12718,python,,,,,Medium,fixed,3.9.23,,YES,
CVE-2024-50602,python,,,,,Medium,fixed,3.9.21,,YES,
CVE-2024-5642,python,,,,,Medium,fixed,3.9.24,,YES,
CVE-2024-9287,python,,,,,High,fixed,3.9.21,,YES,
CVE-2025-0938,python,,,,,Medium,fixed,3.9.22,,YES,
CVE-2025-11468,python,,,,,Medium,fixed,3.13.12,,YES,
CVE-2025-12084,python,,,,,Medium,fixed,3.13.11,,YES,
CVE-2025-12781,python,,,,,Medium,,,,YES,
CVE-2025-13462,python,,,,,Low,,,,YES,
CVE-2025-13836,python,,,,,High,fixed,3.13.11,,YES,
CVE-2025-13837,python,,,,,Medium,fixed,3.13.10,,YES,
CVE-2025-15282,python,,,,,Medium,fixed,3.13.12,,YES,
CVE-2025-15366,python,,,,,Medium,fixed,3.15.0a6,,YES,
CVE-2025-15367,python,,,,,Medium,fixed,3.15.0a6,,YES,
CVE-2025-1795,python,,,,,Low,fixed,3.9.23,,YES,
CVE-2025-4138,python,,,,,High,fixed,3.9.23,,YES,
CVE-2025-4330,python,,,,,High,fixed,3.9.23,,YES,
CVE-2025-4435,python,,,,,High,fixed,3.9.23,,YES,
CVE-2025-4516,python,,,,,Medium,fixed,3.9.23,,YES,
CVE-2025-4517,python,,,,,Critical,fixed,3.9.23,,YES,
CVE-2025-6069,python,,,,,Medium,fixed,3.9.24,,YES,
CVE-2025-6075,python,,,,,Medium,fixed,3.13.10,,YES,
CVE-2025-8194,python,,,,,High,fixed,3.9.24,,YES,
CVE-2025-8291,python,,,,,Medium,fixed,3.9.24,,YES,
CVE-2026-0672,python,,,,,Medium,fixed,3.13.12,,YES,
CVE-2026-0865,python,,,,,Medium,fixed,3.13.12,,YES,
CVE-2026-1299,python,,,,,Medium,fixed,3.13.12,,YES,
CVE-2026-2297,python,,,,,Medium,,,,YES,
CVE-2026-3479,python,,,,,Low,,,,YES,
CVE-2026-3644,python,,,,,Medium,,,,YES,
CVE-2026-4224,python,,,,,Medium,,,,YES,
CVE-2026-4519,python,,,,,High,,,,YES,
GHSA-4xh5-x5gv-qwph,pip,,,,,Medium,fixed,25.3,,YES,
GHSA-5rjg-fvgr-3xxf,setuptools,,,,,High,fixed,78.1.1,,YES,
GHSA-6vgw-5pg2-w6jp,pip,,,,,Low,fixed,26.0,,YES,
GHSA-8rrh-rw8j-w5fx,wheel,,,,,High,fixed,0.46.2,,YES,
GHSA-cx63-2mw6-8hw5,setuptools,,,,,High,fixed,70.0.0,,YES,
GHSA-mq26-g339-26xf,pip,,,,,Medium,fixed,23.3,,YES,
GHSA-r9hx-vwmv-q579,setuptools,,,,,High,fixed,65.5.1,,YES,
