cve_id,package,installed_version,severity_trivy,fix_status_trivy,fixed_version_trivy,severity_grype,fix_status_grype,fixed_version_grype,trivy,grype,osv
CVE-2022-40897,setuptools,57.5.0,HIGH,fixed,65.5.1,,,,YES,,YES
CVE-2023-45853,zlib1g,1:1.2.13.dfsg-1,CRITICAL,will_not_fix,,,,,YES,,
CVE-2023-5752,pip,23.0.1,MEDIUM,fixed,23.3,,,,YES,,YES
CVE-2024-6345,setuptools,57.5.0,HIGH,fixed,70.0.0,,,,YES,,YES
CVE-2025-47273,setuptools,57.5.0,HIGH,fixed,78.1.1,,,,YES,,YES
CVE-2025-8869,pip,23.0.1,MEDIUM,fixed,25.3,,,,YES,,YES
CVE-2026-1703,pip,23.0.1,LOW,fixed,26.0,,,,YES,,YES
CVE-2026-24049,wheel,0.44.0,HIGH,fixed,0.46.2,,,,YES,,YES
DSA-5812-2,libpq-dev,15.8-0+deb12u1,UNKNOWN,fixed,15.10-0+deb12u1,,,,YES,,YES
DSA-5812-2,libpq5,15.8-0+deb12u1,UNKNOWN,fixed,15.10-0+deb12u1,,,,YES,,YES
DSA-5979-2,libxslt1-dev,1.1.35-1,UNKNOWN,fixed,1.1.35-1+deb12u3,,,,YES,,YES
DSA-5979-2,libxslt1.1,1.1.35-1,UNKNOWN,fixed,1.1.35-1+deb12u3,,,,YES,,YES
DSA-5990-1,libxml2,2.9.14+dfsg-1.3~deb12u1,UNKNOWN,fixed,2.9.14+dfsg-1.3~deb12u4,,,,YES,,YES
DSA-5990-1,libxml2-dev,2.9.14+dfsg-1.3~deb12u1,UNKNOWN,fixed,2.9.14+dfsg-1.3~deb12u4,,,,YES,,YES
TEMP-0290435-0B57B5,tar,1.34+dfsg-1.2+deb12u1,LOW,affected,,,,,YES,,
TEMP-0517018-A83CE6,sysvinit-utils,3.06-4,LOW,affected,,,,,YES,,
TEMP-0601525-BEBB65,libwmf-0.2-7,0.2.12-5.1,LOW,affected,,,,,YES,,
TEMP-0601525-BEBB65,libwmf-dev,0.2.12-5.1,LOW,affected,,,,,YES,,
TEMP-0601525-BEBB65,libwmflite-0.2-7,0.2.12-5.1,LOW,affected,,,,,YES,,
TEMP-0628843-DBAD28,login,1:4.13+dfsg1-1+b1,LOW,affected,,,,,YES,,
TEMP-0628843-DBAD28,passwd,1:4.13+dfsg1-1+b1,LOW,affected,,,,,YES,,
TEMP-0841856-B18BAF,bash,5.2.15-2+b7,LOW,affected,,,,,YES,,
