tool,image,group,CWE-476,CWE-416,CWE-125,CWE-787,CWE-190,CWE-119,CWE-401,CWE-400,CWE-362,CWE-122,CWE-120,CWE-667,CWE-20,CWE-415,CWE-908
trivy,alpine:3.19,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grype,alpine:3.19,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trivy,nginx:1.29.7,C,7,3,6,4,4,9,3,2,1,4,4,0,1,1,0
grype,nginx:1.29.7,C,9,3,7,4,5,10,3,2,2,5,4,0,1,2,0
trivy,node:20,C,135,79,38,39,23,44,45,24,43,23,14,33,12,13,10
grype,node:20,C,30,6,28,30,17,44,18,23,4,23,15,0,11,5,3
trivy,python:3.12,C,47,26,36,22,12,45,20,16,20,22,8,9,8,6,3
grype,python:3.12,C,24,6,34,19,12,46,16,15,2,22,10,0,8,5,1
trivy,nginx:1.19,B,17,24,35,46,25,5,1,9,0,2,10,0,10,6,1
grype,nginx:1.19,B,30,41,65,77,42,15,9,13,3,3,17,0,12,14,2
trivy,node:14,B,82,95,30,58,27,11,21,25,29,6,15,22,10,15,18
grype,node:14,B,44,22,36,69,47,28,24,39,8,9,16,0,17,7,4
trivy,python:3.8,B,537,352,185,135,65,55,151,27,111,41,30,114,15,46,84
grype,python:3.8,B,43,17,60,53,32,54,24,26,4,41,22,0,15,8,3
trivy,vulnerables/web-dvwa:latest,A,29,22,65,50,43,12,3,10,2,1,7,0,14,7,7
grype,vulnerables/web-dvwa:latest,A,44,42,105,76,69,23,12,14,5,1,15,4,22,10,8
trivy,bkimminich/juice-shop:latest,A,1,0,1,0,0,1,1,5,0,0,0,0,5,0,0
grype,bkimminich/juice-shop:latest,A,1,0,1,0,0,1,1,5,0,0,0,0,5,0,0
