image,cve_id,package,ecosystem,rule_layer,agent_layer
node:14,CVE-2023-32002,node,binary,unknown,app
python:3.8,CVE-2025-4517,python,binary,unknown,os
vulnerables/web-dvwa,CVE-2017-10788,libdbd-mysql-perl,debian,os,app
vulnerables/web-dvwa,CVE-2017-8923,libapache2-mod-php7.0,debian,os,app
vulnerables/web-dvwa,CVE-2017-8923,php7.0-cli,debian,os,app
vulnerables/web-dvwa,CVE-2017-8923,php7.0-gd,debian,os,app
vulnerables/web-dvwa,CVE-2017-8923,php7.0-json,debian,os,app
vulnerables/web-dvwa,CVE-2017-8923,php7.0-mysql,debian,os,app
vulnerables/web-dvwa,CVE-2017-8923,php7.0-opcache,debian,os,app
vulnerables/web-dvwa,CVE-2017-8923,php7.0-pgsql,debian,os,app
vulnerables/web-dvwa,CVE-2017-8923,php7.0-readline,debian,os,app
vulnerables/web-dvwa,CVE-2017-8923,php7.0-xml,debian,os,app
vulnerables/web-dvwa,CVE-2019-11034,libapache2-mod-php7.0,debian,os,app
vulnerables/web-dvwa,CVE-2019-11034,php7.0-cli,debian,os,app
vulnerables/web-dvwa,CVE-2019-11034,php7.0-gd,debian,os,app
vulnerables/web-dvwa,CVE-2019-11034,php7.0-mysql,debian,os,app
vulnerables/web-dvwa,CVE-2019-11034,php7.0-opcache,debian,os,app
vulnerables/web-dvwa,CVE-2019-11034,php7.0-pgsql,debian,os,app
vulnerables/web-dvwa,CVE-2019-11034,php7.0-readline,debian,os,app
vulnerables/web-dvwa,CVE-2019-11034,php7.0-xml,debian,os,app
vulnerables/web-dvwa,CVE-2019-11035,libapache2-mod-php7.0,debian,os,app
vulnerables/web-dvwa,CVE-2019-11035,php7.0-cli,debian,os,app
vulnerables/web-dvwa,CVE-2019-11035,php7.0-gd,debian,os,app
vulnerables/web-dvwa,CVE-2019-11035,php7.0-mysql,debian,os,app
vulnerables/web-dvwa,CVE-2019-11035,php7.0-opcache,debian,os,app
vulnerables/web-dvwa,CVE-2019-11035,php7.0-pgsql,debian,os,app
vulnerables/web-dvwa,CVE-2019-11035,php7.0-readline,debian,os,app
vulnerables/web-dvwa,CVE-2019-11035,php7.0-xml,debian,os,app
vulnerables/web-dvwa,CVE-2019-11036,libapache2-mod-php7.0,debian,os,app
vulnerables/web-dvwa,CVE-2019-11036,php7.0-gd,debian,os,app
vulnerables/web-dvwa,CVE-2019-11036,php7.0-mysql,debian,os,app
vulnerables/web-dvwa,CVE-2019-11036,php7.0-opcache,debian,os,app
vulnerables/web-dvwa,CVE-2019-11036,php7.0-pgsql,debian,os,app
vulnerables/web-dvwa,CVE-2019-11036,php7.0-readline,debian,os,app
vulnerables/web-dvwa,CVE-2019-11036,php7.0-xml,debian,os,app
vulnerables/web-dvwa,CVE-2019-11039,libapache2-mod-php7.0,debian,os,app
vulnerables/web-dvwa,CVE-2019-11039,php7.0-cli,debian,os,app
vulnerables/web-dvwa,CVE-2019-11039,php7.0-gd,debian,os,app
vulnerables/web-dvwa,CVE-2019-11039,php7.0-json,debian,os,app
vulnerables/web-dvwa,CVE-2019-11039,php7.0-mysql,debian,os,app
vulnerables/web-dvwa,CVE-2019-11039,php7.0-opcache,debian,os,app
vulnerables/web-dvwa,CVE-2019-11039,php7.0-pgsql,debian,os,app
vulnerables/web-dvwa,CVE-2019-11039,php7.0-readline,debian,os,app
