group,image,policy,block,deny_count,critical_total,critical_consensus,critical_fixable
C,alpine:3.19,p1,False,0,0,0,0
C,alpine:3.19,p2,False,0,0,0,0
C,alpine:3.19,p3,False,0,0,0,0
C,alpine:3.19,p4,False,0,0,0,0
C,nginx:1.29.7,p1,False,0,0,0,0
C,nginx:1.29.7,p2,False,0,0,0,0
C,nginx:1.29.7,p3,False,0,0,0,0
C,nginx:1.29.7,p4,False,0,0,0,0
C,node:20,p1,True,33,33,32,0
C,node:20,p2,False,0,33,32,0
C,node:20,p3,True,32,33,32,0
C,node:20,p4,False,0,33,32,0
C,python:3.12,p1,False,0,0,0,0
C,python:3.12,p2,False,0,0,0,0
C,python:3.12,p3,False,0,0,0,0
C,python:3.12,p4,False,0,0,0,0
B,nginx:1.19,p1,True,42,42,41,40
B,nginx:1.19,p2,True,40,42,41,40
B,nginx:1.19,p3,True,41,42,41,40
B,nginx:1.19,p4,False,0,42,41,40
B,node:14,p1,True,23,23,20,18
B,node:14,p2,True,18,23,20,18
B,node:14,p3,True,20,23,20,18
B,node:14,p4,False,0,23,20,18
B,python:3.8,p1,True,191,191,187,158
B,python:3.8,p2,True,158,191,187,158
B,python:3.8,p3,True,187,191,187,158
B,python:3.8,p4,False,0,191,187,158
A,vulnerables/web-dvwa,p1,True,328,328,295,266
A,vulnerables/web-dvwa,p2,True,266,328,295,266
A,vulnerables/web-dvwa,p3,True,295,328,295,266
A,vulnerables/web-dvwa,p4,True,24,328,295,266
A,bkimminich/juice-shop,p1,True,9,9,9,7
A,bkimminich/juice-shop,p2,True,7,9,9,7
A,bkimminich/juice-shop,p3,True,9,9,9,7
A,bkimminich/juice-shop,p4,False,0,9,9,7
